Question;Answer
Кто главный герой Нового года?;Дед Мороз
Во сколько лет дети становятся совершеннолетними?;18
Когда солнце восходит – это …;рассвет
Когда солнце заходит – это …;закат
Как называется кусочек Луны?;Месяц
Как раньше называли Россию?;Русь
Как называют коня женского пола?;Лошадь
Самая большая ягода – это …;Тыква
Какое слово ребёнок в большинстве случаев говорит первым?;Мама
Сколько дней в неделе?;7
Как называют домашнее животное, которое царапается и любит сметану?;Кот
Что спасёт человека, если он будет прыгать из самолёта?;Парашют
За каким столом сидят школьники и пишут конспект?;Парта
С какого месяца начинается лето?;Июнь
У каждого вопроса есть…;Ответ
Как называется очень-очень быстрый шаг?;Бег
Третий день недели называется … ;среда
Как называется приспособление для ушей, чтобы слушать музыку?;Наушники
Как называется устройство, которое помогает считать числа?;Калькулятор
Как называется место, где много песка, сухо и ходят верблюды?;Пустыня
Чем виляет собака, когда радуется?;Хвост
Как называют человека, который любит петь песни?;Певец
На чём прыгают дети и подскакивают в воздух?;Батут
Любимое холодное сладкое лакомство у людей – это … ;мороженое
Чем кушают суп?;Ложка
Если не чёрный, то какой бывает чай?;Зелёный
У какой птицы в названии сорок «а»?;Сорока
Чем люди дышат?;Кислород
Как называют пришедших с других планет?;Инопланетяне
Как называется «сердце» автомобиля?;Мотор
Сколько сантиметров в 1 метре?;100
Сколько месяцев в зимнем периоде?;3
Какое животное самоё упёртое?;Осёл
Как называют людей, которые живут рядом?;Соседи
Что говорят, когда благодарят?;Спасибо
Переносной компьютер – это …;ноутбук
Чем надувают шарики, чтобы они не падали?;Гелий
Как называется соревнование, в котором участвуют спортсмены со всех стран?;Олимпиада
Чем управляют техникой издалека?;Пульт
Что будит человека утром?;Будильник
Что даёт продавец, когда вы платите больше, чем нужно?;Сдача
Долгий постоянный дождь называется … ;Ливень
Как называется стрела в небе?;Молния
На каких ножках стояла избушка Бабы Яги?;Курьи ножки
Как звали мальчика из дерева?;Буратино
Какой герой катался на печке?;Емеля
Как зовут пушистого необычного персонажа с большими ушами?;Чебурашка
От кого убежала посуда?;Федора
Вспомните, кем стал гадкий утёнок?;Лебедь
Кто любил играть на гармошке?;Крокодил Гена
Они всегда придут на помощь!;Чип и Дейл
Какая фамилия у почтальона, который работал в Простоквашино?;Печкин
У этой девочки были голубые волосы?;Мальвина
Какой персонаж самый умный в Цветочном городе?;Знайка
Этого мальчика воспитывали животные?;Маугли
Вспомни, как звали музыкантов-животных и юношу, который ездил вместе с ними?;Бременские музыканты
Какое имя у кота из Простоквашино?;Матроскин
Эту царевну было невозможно рассмешить.;Несмеяна
Чем Малыш лечил Карлсона от болезни?;Варенье
Из чего сделан сын Папы Карло?;Дерево
Что несла Красная Шапочка своей бабушке?;Пирожки
